Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.9953850000000001,0.995978,0.446808,0.9956809999999999,1061,1004,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.528275734138537,523044,.,.,295380.000000,193339.000000,,1.5277828063660204,2425,.,.,1214.000000,732.000000,,1.6584699453551912,988755,.,.,662905.000000,296375.000000,,2.236710248840152,544771,.,.,341532.000000,192352.000000,,1.7755573115954084,2200,.,.,2100.000000,77.000000,,27.272727272727273,441784,.,.,319273.000000,103946.000000,,3.071527523906644
INDEL,*,*,PASS,*,QUAL,*,0.9953850000000001,0.995978,0.446808,0.9956809999999999,1061,1004,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.528275734138537,523044,.,.,295380.000000,193339.000000,,1.5277828063660204,2425,.,.,1214.000000,732.000000,,1.6584699453551912,988755,.,.,662905.000000,296375.000000,,2.236710248840152,544771,.,.,341532.000000,192352.000000,,1.7755573115954084,2200,.,.,2100.000000,77.000000,,27.272727272727273,441784,.,.,319273.000000,103946.000000,,3.071527523906644
INDEL,*,GC_15_20,ALL,*,QUAL,*,0.9925309999999999,0.991967,0.0,0.9922489999999999,25,21,12031611.000000,12031611.000000,0.000000,5891,.,.,3521.000000,2016.000000,,1.7465277777777777,5847,.,.,3503.000000,2006.000000,,1.7462612163509472,44,.,.,18.000000,10.000000,,1.8,6100,.,.,4013.000000,1991.000000,,2.015570065293822,6051,.,.,3971.000000,1987.000000,,1.9984901862103674,49,.,.,42.000000,4.000000,,10.5,0,.,.,0.000000,0.000000,,
INDEL,*,GC_15_20,PASS,*,QUAL,*,0.9925309999999999,0.991967,0.0,0.9922489999999999,25,21,12031611.000000,12031611.000000,0.000000,5891,.,.,3521.000000,2016.000000,,1.7465277777777777,5847,.,.,3503.000000,2006.000000,,1.7462612163509472,44,.,.,18.000000,10.000000,,1.8,6100,.,.,4013.000000,1991.000000,,2.015570065293822,6051,.,.,3971.000000,1987.000000,,1.9984901862103674,49,.,.,42.000000,4.000000,,10.5,0,.,.,0.000000,0.000000,,
INDEL,*,GC_20_25,ALL,*,QUAL,*,0.9949600000000001,0.995654,0.0,0.9953069999999999,91,53,104538771.000000,104538771.000000,0.000000,34325,.,.,19806.000000,12644.000000,,1.5664346725719709,34152,.,.,19734.000000,12592.000000,,1.5671855146124523,173,.,.,72.000000,52.000000,,1.3846153846153846,35437,.,.,22348.000000,12524.000000,,1.784413925263494,35283,.,.,22200.000000,12519.000000,,1.7733045770428948,154,.,.,148.000000,5.000000,,29.6,0,.,.,0.000000,0.000000,,
INDEL,*,GC_20_25,PASS,*,QUAL,*,0.9949600000000001,0.995654,0.0,0.9953069999999999,91,53,104538771.000000,104538771.000000,0.000000,34325,.,.,19806.000000,12644.000000,,1.5664346725719709,34152,.,.,19734.000000,12592.000000,,1.5671855146124523,173,.,.,72.000000,52.000000,,1.3846153846153846,35437,.,.,22348.000000,12524.000000,,1.784413925263494,35283,.,.,22200.000000,12519.000000,,1.7733045770428948,154,.,.,148.000000,5.000000,,29.6,0,.,.,0.000000,0.000000,,
INDEL,*,GC_25_30,ALL,*,QUAL,*,0.995683,0.996027,0.0,0.9958549999999999,202,165,352296510.000000,352296510.000000,0.000000,94039,.,.,53960.000000,34456.000000,,1.5660552588808916,93633,.,.,53783.000000,34326.000000,,1.5668298083085708,406,.,.,177.000000,130.000000,,1.3615384615384616,97407,.,.,61401.000000,34220.000000,,1.794301578024547,97020,.,.,61034.000000,34208.000000,,1.7842025257249765,387,.,.,367.000000,12.000000,,30.583333333333332,0,.,.,0.000000,0.000000,,
INDEL,*,GC_25_30,PASS,*,QUAL,*,0.995683,0.996027,0.0,0.9958549999999999,202,165,352296510.000000,352296510.000000,0.000000,94039,.,.,53960.000000,34456.000000,,1.5660552588808916,93633,.,.,53783.000000,34326.000000,,1.5668298083085708,406,.,.,177.000000,130.000000,,1.3615384615384616,97407,.,.,61401.000000,34220.000000,,1.794301578024547,97020,.,.,61034.000000,34208.000000,,1.7842025257249765,387,.,.,367.000000,12.000000,,30.583333333333332,0,.,.,0.000000,0.000000,,
INDEL,*,GC_30_55,ALL,*,QUAL,*,0.995734,0.9964280000000001,0.0,0.996081,517,535,1731729858.000000,1731729858.000000,0.000000,303115,.,.,170932.000000,111058.000000,,1.5391237011291397,301822,.,.,170236.000000,110698.000000,,1.537841695423585,1293,.,.,696.000000,360.000000,,1.9333333333333333,316113,.,.,199394.000000,110147.000000,,1.810253570228876,314984,.,.,198310.000000,110110.000000,,1.8010171646535282,1129,.,.,1084.000000,37.000000,,29.2972972972973,0,.,.,0.000000,0.000000,,
INDEL,*,GC_30_55,PASS,*,QUAL,*,0.995734,0.9964280000000001,0.0,0.996081,517,535,1731729858.000000,1731729858.000000,0.000000,303115,.,.,170932.000000,111058.000000,,1.5391237011291397,301822,.,.,170236.000000,110698.000000,,1.537841695423585,1293,.,.,696.000000,360.000000,,1.9333333333333333,316113,.,.,199394.000000,110147.000000,,1.810253570228876,314984,.,.,198310.000000,110110.000000,,1.8010171646535282,1129,.,.,1084.000000,37.000000,,29.2972972972973,0,.,.,0.000000,0.000000,,
