Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.977593,0.9895299999999999,0.404146,0.983525,2810,445,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.528275734138537,513695,.,.,289369.000000,192073.000000,,1.5065574026541992,11774,.,.,7225.000000,1998.000000,,3.616116116116116,907058,.,.,571423.000000,312922.000000,,1.8260876512357713,534815,.,.,332498.000000,192121.000000,,1.73066973417794,5659,.,.,3500.000000,2152.000000,,1.6263940520446096,366584,.,.,235425.000000,118649.000000,,1.9842139419632698
INDEL,*,*,PASS,*,QUAL,*,0.977593,0.9895299999999999,0.404146,0.983525,2810,445,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.528275734138537,513695,.,.,289369.000000,192073.000000,,1.5065574026541992,11774,.,.,7225.000000,1998.000000,,3.616116116116116,907058,.,.,571423.000000,312922.000000,,1.8260876512357713,534815,.,.,332498.000000,192121.000000,,1.73066973417794,5659,.,.,3500.000000,2152.000000,,1.6263940520446096,366584,.,.,235425.000000,118649.000000,,1.9842139419632698
INDEL,*,GC_15_20,ALL,*,QUAL,*,0.989815,0.994916,0.0,0.992359,14,3,12031611.000000,12031611.000000,0.000000,5891,.,.,3521.000000,2016.000000,,1.7465277777777777,5831,.,.,3477.000000,2012.000000,,1.728131212723658,60,.,.,44.000000,4.000000,,11.0,6097,.,.,3981.000000,2021.000000,,1.9698169223156854,6066,.,.,3958.000000,2013.000000,,1.9662195727769498,31,.,.,23.000000,8.000000,,2.875,0,.,.,0.000000,0.000000,,
INDEL,*,GC_15_20,PASS,*,QUAL,*,0.989815,0.994916,0.0,0.992359,14,3,12031611.000000,12031611.000000,0.000000,5891,.,.,3521.000000,2016.000000,,1.7465277777777777,5831,.,.,3477.000000,2012.000000,,1.728131212723658,60,.,.,44.000000,4.000000,,11.0,6097,.,.,3981.000000,2021.000000,,1.9698169223156854,6066,.,.,3958.000000,2013.000000,,1.9662195727769498,31,.,.,23.000000,8.000000,,2.875,0,.,.,0.000000,0.000000,,
INDEL,*,GC_20_25,ALL,*,QUAL,*,0.990066,0.9943120000000001,0.0,0.9921840000000001,77,18,104538771.000000,104538771.000000,0.000000,34325,.,.,19806.000000,12644.000000,,1.5664346725719709,33984,.,.,19579.000000,12597.000000,,1.5542589505437803,341,.,.,227.000000,47.000000,,4.829787234042553,35337,.,.,22113.000000,12654.000000,,1.7475106685633002,35136,.,.,21968.000000,12598.000000,,1.7437688521987618,201,.,.,145.000000,56.000000,,2.5892857142857144,0,.,.,0.000000,0.000000,,
INDEL,*,GC_20_25,PASS,*,QUAL,*,0.990066,0.9943120000000001,0.0,0.9921840000000001,77,18,104538771.000000,104538771.000000,0.000000,34325,.,.,19806.000000,12644.000000,,1.5664346725719709,33984,.,.,19579.000000,12597.000000,,1.5542589505437803,341,.,.,227.000000,47.000000,,4.829787234042553,35337,.,.,22113.000000,12654.000000,,1.7475106685633002,35136,.,.,21968.000000,12598.000000,,1.7437688521987618,201,.,.,145.000000,56.000000,,2.5892857142857144,0,.,.,0.000000,0.000000,,
INDEL,*,GC_25_30,ALL,*,QUAL,*,0.986484,0.992801,0.0,0.989633,322,54,352296510.000000,352296510.000000,0.000000,94039,.,.,53960.000000,34456.000000,,1.5660552588808916,92768,.,.,53147.000000,34320.000000,,1.548572261072261,1271,.,.,813.000000,136.000000,,5.977941176470588,96825,.,.,60549.000000,34576.000000,,1.7511857936140676,96128,.,.,60104.000000,34325.000000,,1.7510269482884195,697,.,.,445.000000,251.000000,,1.7729083665338645,0,.,.,0.000000,0.000000,,
INDEL,*,GC_25_30,PASS,*,QUAL,*,0.986484,0.992801,0.0,0.989633,322,54,352296510.000000,352296510.000000,0.000000,94039,.,.,53960.000000,34456.000000,,1.5660552588808916,92768,.,.,53147.000000,34320.000000,,1.548572261072261,1271,.,.,813.000000,136.000000,,5.977941176470588,96825,.,.,60549.000000,34576.000000,,1.7511857936140676,96128,.,.,60104.000000,34325.000000,,1.7510269482884195,697,.,.,445.000000,251.000000,,1.7729083665338645,0,.,.,0.000000,0.000000,,
INDEL,*,GC_30_55,ALL,*,QUAL,*,0.976174,0.9890540000000001,0.0,0.9825719999999999,1673,273,1731729858.000000,1731729858.000000,0.000000,303113,.,.,170931.000000,111057.000000,,1.5391285556065804,295891,.,.,166630.000000,109718.000000,,1.5187116061175012,7222,.,.,4301.000000,1339.000000,,3.2120985810306197,312070,.,.,194939.000000,111017.000000,,1.7559382797229253,308654,.,.,192792.000000,109753.000000,,1.756598908458083,3416,.,.,2147.000000,1264.000000,,1.6985759493670887,0,.,.,0.000000,0.000000,,
INDEL,*,GC_30_55,PASS,*,QUAL,*,0.976174,0.9890540000000001,0.0,0.9825719999999999,1673,273,1731729858.000000,1731729858.000000,0.000000,303113,.,.,170931.000000,111057.000000,,1.5391285556065804,295891,.,.,166630.000000,109718.000000,,1.5187116061175012,7222,.,.,4301.000000,1339.000000,,3.2120985810306197,312070,.,.,194939.000000,111017.000000,,1.7559382797229253,308654,.,.,192792.000000,109753.000000,,1.756598908458083,3416,.,.,2147.000000,1264.000000,,1.6985759493670887,0,.,.,0.000000,0.000000,,
