Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.8512719999999999,0.9482860000000001,0.36393600000000004,0.897164,9185,12316,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.528275734138537,447317,.,.,252509.000000,172590.000000,,1.4630569557911814,78152,.,.,44085.000000,21481.000000,,2.0522787579721613,765509,.,.,474177.000000,271158.000000,,1.74871108357489,461733,.,.,282366.000000,172516.000000,,1.6367525330983792,25180,.,.,14340.000000,9757.000000,,1.469714051450241,278596,.,.,177471.000000,88885.000000,,1.9966361028294988
INDEL,*,*,PASS,*,QUAL,*,0.8512719999999999,0.9482860000000001,0.36393600000000004,0.897164,9185,12316,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.528275734138537,447317,.,.,252509.000000,172590.000000,,1.4630569557911814,78152,.,.,44085.000000,21481.000000,,2.0522787579721613,765509,.,.,474177.000000,271158.000000,,1.74871108357489,461733,.,.,282366.000000,172516.000000,,1.6367525330983792,25180,.,.,14340.000000,9757.000000,,1.469714051450241,278596,.,.,177471.000000,88885.000000,,1.9966361028294988
INDEL,*,GC_15_20,ALL,*,QUAL,*,0.935325,0.9755219999999999,0.0,0.955001,57,63,12031611.000000,12031611.000000,0.000000,5891,.,.,3521.000000,2016.000000,,1.7465277777777777,5510,.,.,3322.000000,1900.000000,,1.7484210526315789,381,.,.,199.000000,116.000000,,1.7155172413793103,5842,.,.,3796.000000,1959.000000,,1.937723328228688,5699,.,.,3724.000000,1896.000000,,1.9641350210970465,143,.,.,72.000000,63.000000,,1.1428571428571428,0,.,.,0.000000,0.000000,,
INDEL,*,GC_15_20,PASS,*,QUAL,*,0.935325,0.9755219999999999,0.0,0.955001,57,63,12031611.000000,12031611.000000,0.000000,5891,.,.,3521.000000,2016.000000,,1.7465277777777777,5510,.,.,3322.000000,1900.000000,,1.7484210526315789,381,.,.,199.000000,116.000000,,1.7155172413793103,5842,.,.,3796.000000,1959.000000,,1.937723328228688,5699,.,.,3724.000000,1896.000000,,1.9641350210970465,143,.,.,72.000000,63.000000,,1.1428571428571428,0,.,.,0.000000,0.000000,,
INDEL,*,GC_20_25,ALL,*,QUAL,*,0.897538,0.96398,0.0,0.929573,445,540,104538771.000000,104538771.000000,0.000000,34325,.,.,19806.000000,12644.000000,,1.5664346725719709,30808,.,.,17757.000000,11738.000000,,1.512779008348952,3517,.,.,2049.000000,906.000000,,2.26158940397351,32815,.,.,20154.000000,12228.000000,,1.6481844946025515,31633,.,.,19508.000000,11730.000000,,1.66308610400682,1182,.,.,646.000000,498.000000,,1.2971887550200802,0,.,.,0.000000,0.000000,,
INDEL,*,GC_20_25,PASS,*,QUAL,*,0.897538,0.96398,0.0,0.929573,445,540,104538771.000000,104538771.000000,0.000000,34325,.,.,19806.000000,12644.000000,,1.5664346725719709,30808,.,.,17757.000000,11738.000000,,1.512779008348952,3517,.,.,2049.000000,906.000000,,2.26158940397351,32815,.,.,20154.000000,12228.000000,,1.6481844946025515,31633,.,.,19508.000000,11730.000000,,1.66308610400682,1182,.,.,646.000000,498.000000,,1.2971887550200802,0,.,.,0.000000,0.000000,,
INDEL,*,GC_25_30,ALL,*,QUAL,*,0.865067,0.951727,0.0,0.90633,1558,2020,352296510.000000,352296510.000000,0.000000,94039,.,.,53960.000000,34456.000000,,1.5660552588808916,81350,.,.,46599.000000,31131.000000,,1.4968680736243616,12689,.,.,7361.000000,3325.000000,,2.2138345864661653,87875,.,.,53798.000000,32808.000000,,1.639782979761034,83633,.,.,51412.000000,31118.000000,,1.6521627353943056,4242,.,.,2386.000000,1690.000000,,1.4118343195266272,0,.,.,0.000000,0.000000,,
INDEL,*,GC_25_30,PASS,*,QUAL,*,0.865067,0.951727,0.0,0.90633,1558,2020,352296510.000000,352296510.000000,0.000000,94039,.,.,53960.000000,34456.000000,,1.5660552588808916,81350,.,.,46599.000000,31131.000000,,1.4968680736243616,12689,.,.,7361.000000,3325.000000,,2.2138345864661653,87875,.,.,53798.000000,32808.000000,,1.639782979761034,83633,.,.,51412.000000,31118.000000,,1.6521627353943056,4242,.,.,2386.000000,1690.000000,,1.4118343195266272,0,.,.,0.000000,0.000000,,
INDEL,*,GC_30_55,ALL,*,QUAL,*,0.871949,0.9542860000000001,0.0,0.9112620000000001,5103,6125,1731729858.000000,1731729858.000000,0.000000,303114,.,.,170932.000000,111057.000000,,1.5391375599917159,264300,.,.,148705.000000,100906.000000,,1.4736982934612413,38814,.,.,22227.000000,10151.000000,,2.1896364890158604,286893,.,.,175898.000000,105875.000000,,1.6613742621015348,273778,.,.,168414.000000,100877.000000,,1.66949849817104,13115,.,.,7484.000000,4998.000000,,1.4973989595838335,0,.,.,0.000000,0.000000,,
INDEL,*,GC_30_55,PASS,*,QUAL,*,0.871949,0.9542860000000001,0.0,0.9112620000000001,5103,6125,1731729858.000000,1731729858.000000,0.000000,303114,.,.,170932.000000,111057.000000,,1.5391375599917159,264300,.,.,148705.000000,100906.000000,,1.4736982934612413,38814,.,.,22227.000000,10151.000000,,2.1896364890158604,286893,.,.,175898.000000,105875.000000,,1.6613742621015348,273778,.,.,168414.000000,100877.000000,,1.66949849817104,13115,.,.,7484.000000,4998.000000,,1.4973989595838335,0,.,.,0.000000,0.000000,,
INDEL,*,GC_55_60,ALL,*,QUAL,*,0.696659,0.8936879999999999,0.0,0.782968,1814,3107,212996624.000000,212996624.000000,0.000000,66773,.,.,36218.000000,25229.000000,,1.4355701771770581,46518,.,.,25355.000000,19010.000000,,1.3337716991057338,20255,.,.,10863.000000,6219.000000,,1.7467438494934877,53578,.,.,31490.000000,21223.000000,,1.4837676106111295,47882,.,.,28224.000000,19001.000000,,1.4853955054997106,5696,.,.,3266.000000,2222.000000,,1.4698469846984699,0,.,.,0.000000,0.000000,,
