Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.9954729999999999,0.9967540000000001,0.44179300000000005,0.9961129999999999,970,688,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.528275734138537,523090,.,.,295163.000000,193595.000000,,1.5246416488029133,2379,.,.,1431.000000,476.000000,,3.0063025210084033,976267,.,.,627526.000000,313792.000000,,1.9998151641851927,543190,.,.,339558.000000,192763.000000,,1.7615309992062793,1769,.,.,1298.000000,287.000000,,4.522648083623693,431308,.,.,286670.000000,120742.000000,,2.3742359742260355
INDEL,*,*,PASS,*,QUAL,*,0.9954729999999999,0.9967540000000001,0.44179300000000005,0.9961129999999999,970,688,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.528275734138537,523090,.,.,295163.000000,193595.000000,,1.5246416488029133,2379,.,.,1431.000000,476.000000,,3.0063025210084033,976267,.,.,627526.000000,313792.000000,,1.9998151641851927,543190,.,.,339558.000000,192763.000000,,1.7615309992062793,1769,.,.,1298.000000,287.000000,,4.522648083623693,431308,.,.,286670.000000,120742.000000,,2.3742359742260355
INDEL,*,GC_15_20,ALL,*,QUAL,*,0.9972840000000001,0.998848,0.0,0.998065,4,3,12031611.000000,12031611.000000,0.000000,5891,.,.,3521.000000,2016.000000,,1.7465277777777777,5875,.,.,3511.000000,2015.000000,,1.7424317617866005,16,.,.,10.000000,1.000000,,10.0,6074,.,.,3977.000000,1999.000000,,1.9894947473736868,6067,.,.,3971.000000,1999.000000,,1.9864932466233116,7,.,.,6.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,GC_15_20,PASS,*,QUAL,*,0.9972840000000001,0.998848,0.0,0.998065,4,3,12031611.000000,12031611.000000,0.000000,5891,.,.,3521.000000,2016.000000,,1.7465277777777777,5875,.,.,3511.000000,2015.000000,,1.7424317617866005,16,.,.,10.000000,1.000000,,10.0,6074,.,.,3977.000000,1999.000000,,1.9894947473736868,6067,.,.,3971.000000,1999.000000,,1.9864932466233116,7,.,.,6.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,GC_20_25,ALL,*,QUAL,*,0.9963870000000001,0.997792,0.0,0.9970889999999999,47,28,104538771.000000,104538771.000000,0.000000,34325,.,.,19806.000000,12644.000000,,1.5664346725719709,34201,.,.,19738.000000,12616.000000,,1.5645212428662016,124,.,.,68.000000,28.000000,,2.4285714285714284,35319,.,.,22164.000000,12575.000000,,1.762544731610338,35241,.,.,22105.000000,12563.000000,,1.759531958927008,78,.,.,59.000000,12.000000,,4.916666666666667,0,.,.,0.000000,0.000000,,
INDEL,*,GC_20_25,PASS,*,QUAL,*,0.9963870000000001,0.997792,0.0,0.9970889999999999,47,28,104538771.000000,104538771.000000,0.000000,34325,.,.,19806.000000,12644.000000,,1.5664346725719709,34201,.,.,19738.000000,12616.000000,,1.5645212428662016,124,.,.,68.000000,28.000000,,2.4285714285714284,35319,.,.,22164.000000,12575.000000,,1.762544731610338,35241,.,.,22105.000000,12563.000000,,1.759531958927008,78,.,.,59.000000,12.000000,,4.916666666666667,0,.,.,0.000000,0.000000,,
INDEL,*,GC_25_30,ALL,*,QUAL,*,0.996353,0.997344,0.0,0.996848,146,97,352296510.000000,352296510.000000,0.000000,94039,.,.,53960.000000,34456.000000,,1.5660552588808916,93696,.,.,53763.000000,34384.000000,,1.563605165193113,343,.,.,197.000000,72.000000,,2.736111111111111,97148,.,.,61034.000000,34313.000000,,1.7787427505610118,96890,.,.,60838.000000,34277.000000,,1.7748927852495842,258,.,.,196.000000,36.000000,,5.444444444444445,0,.,.,0.000000,0.000000,,
INDEL,*,GC_25_30,PASS,*,QUAL,*,0.996353,0.997344,0.0,0.996848,146,97,352296510.000000,352296510.000000,0.000000,94039,.,.,53960.000000,34456.000000,,1.5660552588808916,93696,.,.,53763.000000,34384.000000,,1.563605165193113,343,.,.,197.000000,72.000000,,2.736111111111111,97148,.,.,61034.000000,34313.000000,,1.7787427505610118,96890,.,.,60838.000000,34277.000000,,1.7748927852495842,258,.,.,196.000000,36.000000,,5.444444444444445,0,.,.,0.000000,0.000000,,
INDEL,*,GC_30_55,ALL,*,QUAL,*,0.9960379999999999,0.997292,0.0,0.996664,472,325,1731729858.000000,1731729858.000000,0.000000,303116,.,.,170933.000000,111058.000000,,1.5391327054331971,301915,.,.,170198.000000,110823.000000,,1.535764236665674,1201,.,.,735.000000,235.000000,,3.127659574468085,314947,.,.,197810.000000,110512.000000,,1.7899413638337918,314094,.,.,197188.000000,110353.000000,,1.7868839089104964,853,.,.,622.000000,159.000000,,3.911949685534591,0,.,.,0.000000,0.000000,,
INDEL,*,GC_30_55,PASS,*,QUAL,*,0.9960379999999999,0.997292,0.0,0.996664,472,325,1731729858.000000,1731729858.000000,0.000000,303116,.,.,170933.000000,111058.000000,,1.5391327054331971,301915,.,.,170198.000000,110823.000000,,1.535764236665674,1201,.,.,735.000000,235.000000,,3.127659574468085,314947,.,.,197810.000000,110512.000000,,1.7899413638337918,314094,.,.,197188.000000,110353.000000,,1.7868839089104964,853,.,.,622.000000,159.000000,,3.911949685534591,0,.,.,0.000000,0.000000,,
