Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.9893280000000001,0.975907,0.43087,0.9825719999999999,3446,1348,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.528275734138537,519861,.,.,294041.000000,192370.000000,,1.5285179601809014,5608,.,.,2553.000000,1701.000000,,1.5008818342151675,931306,.,.,536836.000000,296238.000000,,1.8121780460305565,517264,.,.,293670.000000,191498.000000,,1.5335408202696634,12770,.,.,9945.000000,984.000000,,10.106707317073171,401272,.,.,233221.000000,103756.000000,,2.2477832607270907
INDEL,*,*,PASS,*,QUAL,*,0.9893280000000001,0.975907,0.43087,0.9825719999999999,3446,1348,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.528275734138537,519861,.,.,294041.000000,192370.000000,,1.5285179601809014,5608,.,.,2553.000000,1701.000000,,1.5008818342151675,931306,.,.,536836.000000,296238.000000,,1.8121780460305565,517264,.,.,293670.000000,191498.000000,,1.5335408202696634,12770,.,.,9945.000000,984.000000,,10.106707317073171,401272,.,.,233221.000000,103756.000000,,2.2477832607270907
INDEL,*,GC_15_20,ALL,*,QUAL,*,0.994568,0.988459,0.0,0.991504,20,8,12031611.000000,12031611.000000,0.000000,5891,.,.,3521.000000,2016.000000,,1.7465277777777777,5859,.,.,3509.000000,2005.000000,,1.7501246882793018,32,.,.,12.000000,11.000000,,1.0909090909090908,5892,.,.,3571.000000,1991.000000,,1.7935710698141638,5824,.,.,3513.000000,1988.000000,,1.767102615694165,68,.,.,58.000000,3.000000,,19.333333333333332,0,.,.,0.000000,0.000000,,
INDEL,*,GC_15_20,PASS,*,QUAL,*,0.994568,0.988459,0.0,0.991504,20,8,12031611.000000,12031611.000000,0.000000,5891,.,.,3521.000000,2016.000000,,1.7465277777777777,5859,.,.,3509.000000,2005.000000,,1.7501246882793018,32,.,.,12.000000,11.000000,,1.0909090909090908,5892,.,.,3571.000000,1991.000000,,1.7935710698141638,5824,.,.,3513.000000,1988.000000,,1.767102615694165,68,.,.,58.000000,3.000000,,19.333333333333332,0,.,.,0.000000,0.000000,,
INDEL,*,GC_20_25,ALL,*,QUAL,*,0.9933870000000001,0.984851,0.0,0.989101,145,41,104538771.000000,104538771.000000,0.000000,34325,.,.,19806.000000,12644.000000,,1.5664346725719709,34098,.,.,19709.000000,12577.000000,,1.56706686809255,227,.,.,97.000000,67.000000,,1.4477611940298507,34458,.,.,20098.000000,12561.000000,,1.60003184459836,33936,.,.,19697.000000,12519.000000,,1.573368479910536,522,.,.,401.000000,42.000000,,9.547619047619047,0,.,.,0.000000,0.000000,,
INDEL,*,GC_20_25,PASS,*,QUAL,*,0.9933870000000001,0.984851,0.0,0.989101,145,41,104538771.000000,104538771.000000,0.000000,34325,.,.,19806.000000,12644.000000,,1.5664346725719709,34098,.,.,19709.000000,12577.000000,,1.56706686809255,227,.,.,97.000000,67.000000,,1.4477611940298507,34458,.,.,20098.000000,12561.000000,,1.60003184459836,33936,.,.,19697.000000,12519.000000,,1.573368479910536,522,.,.,401.000000,42.000000,,9.547619047619047,0,.,.,0.000000,0.000000,,
INDEL,*,GC_25_30,ALL,*,QUAL,*,0.992237,0.979975,0.0,0.9860680000000001,461,188,352296510.000000,352296510.000000,0.000000,94039,.,.,53960.000000,34456.000000,,1.5660552588808916,93309,.,.,53620.000000,34240.000000,,1.5660046728971964,730,.,.,340.000000,216.000000,,1.5740740740740742,94833,.,.,55134.000000,34255.000000,,1.6095168588527222,92934,.,.,53607.000000,34130.000000,,1.5706709639613243,1899,.,.,1527.000000,125.000000,,12.216,0,.,.,0.000000,0.000000,,
INDEL,*,GC_25_30,PASS,*,QUAL,*,0.992237,0.979975,0.0,0.9860680000000001,461,188,352296510.000000,352296510.000000,0.000000,94039,.,.,53960.000000,34456.000000,,1.5660552588808916,93309,.,.,53620.000000,34240.000000,,1.5660046728971964,730,.,.,340.000000,216.000000,,1.5740740740740742,94833,.,.,55134.000000,34255.000000,,1.6095168588527222,92934,.,.,53607.000000,34130.000000,,1.5706709639613243,1899,.,.,1527.000000,125.000000,,12.216,0,.,.,0.000000,0.000000,,
INDEL,*,GC_30_55,ALL,*,QUAL,*,0.990713,0.978326,0.0,0.9844799999999999,1756,675,1731729858.000000,1731729858.000000,0.000000,303116,.,.,170933.000000,111058.000000,,1.5391327054331971,300301,.,.,169672.000000,110184.000000,,1.5398968997313585,2815,.,.,1261.000000,874.000000,,1.44279176201373,305386,.,.,174624.000000,110205.000000,,1.5845379066285559,298767,.,.,169421.000000,109692.000000,,1.5445155526382963,6619,.,.,5203.000000,513.000000,,10.142300194931774,0,.,.,0.000000,0.000000,,
INDEL,*,GC_30_55,PASS,*,QUAL,*,0.990713,0.978326,0.0,0.9844799999999999,1756,675,1731729858.000000,1731729858.000000,0.000000,303116,.,.,170933.000000,111058.000000,,1.5391327054331971,300301,.,.,169672.000000,110184.000000,,1.5398968997313585,2815,.,.,1261.000000,874.000000,,1.44279176201373,305386,.,.,174624.000000,110205.000000,,1.5845379066285559,298767,.,.,169421.000000,109692.000000,,1.5445155526382963,6619,.,.,5203.000000,513.000000,,10.142300194931774,0,.,.,0.000000,0.000000,,
INDEL,*,GC_55_60,ALL,*,QUAL,*,0.977341,0.958938,0.0,0.968052,934,348,212996624.000000,212996624.000000,0.000000,66774,.,.,36218.000000,25230.000000,,1.4355132778438366,65261,.,.,35538.000000,24782.000000,,1.4340246953433944,1513,.,.,680.000000,448.000000,,1.5178571428571428,67703,.,.,37459.000000,24924.000000,,1.502928903867758,64923,.,.,35483.000000,24660.000000,,1.4388888888888889,2780,.,.,1976.000000,264.000000,,7.484848484848484,0,.,.,0.000000,0.000000,,
INDEL,*,GC_55_60,PASS,*,QUAL,*,0.977341,0.958938,0.0,0.968052,934,348,212996624.000000,212996624.000000,0.000000,66774,.,.,36218.000000,25230.000000,,1.4355132778438366,65261,.,.,35538.000000,24782.000000,,1.4340246953433944,1513,.,.,680.000000,448.000000,,1.5178571428571428,67703,.,.,37459.000000,24924.000000,,1.502928903867758,64923,.,.,35483.000000,24660.000000,,1.4388888888888889,2780,.,.,1976.000000,264.000000,,7.484848484848484,0,.,.,0.000000,0.000000,,
INDEL,*,GC_60_65,ALL,*,QUAL,*,0.980901,0.959799,0.0,0.9702350000000001,247,104,88091258.000000,88091258.000000,0.000000,21886,.,.,11957.000000,8529.000000,,1.4019228514480009,21468,.,.,11758.000000,8396.000000,,1.400428775607432,418,.,.,199.000000,133.000000,,1.4962406015037595,22238,.,.,12420.000000,8413.000000,,1.476286699156068,21344,.,.,11732.000000,8347.000000,,1.4055349227267282,894,.,.,688.000000,66.000000,,10.424242424242424,0,.,.,0.000000,0.000000,,
INDEL,*,GC_60_65,PASS,*,QUAL,*,0.980901,0.959799,0.0,0.9702350000000001,247,104,88091258.000000,88091258.000000,0.000000,21886,.,.,11957.000000,8529.000000,,1.4019228514480009,21468,.,.,11758.000000,8396.000000,,1.400428775607432,418,.,.,199.000000,133.000000,,1.4962406015037595,22238,.,.,12420.000000,8413.000000,,1.476286699156068,21344,.,.,11732.000000,8347.000000,,1.4055349227267282,894,.,.,688.000000,66.000000,,10.424242424242424,0,.,.,0.000000,0.000000,,
INDEL,*,GC_65_70,ALL,*,QUAL,*,0.9846010000000001,0.9485370000000001,0.0,0.966233,33,19,28916577.000000,28916577.000000,0.000000,4416,.,.,2449.000000,1824.000000,,1.3426535087719298,4348,.,.,2408.000000,1808.000000,,1.331858407079646,68,.,.,41.000000,16.000000,,2.5625,4547,.,.,2596.000000,1806.000000,,1.4374307862679956,4313,.,.,2391.000000,1794.000000,,1.3327759197324414,234,.,.,205.000000,12.000000,,17.083333333333332,0,.,.,0.000000,0.000000,,
INDEL,*,GC_65_70,PASS,*,QUAL,*,0.9846010000000001,0.9485370000000001,0.0,0.966233,33,19,28916577.000000,28916577.000000,0.000000,4416,.,.,2449.000000,1824.000000,,1.3426535087719298,4348,.,.,2408.000000,1808.000000,,1.331858407079646,68,.,.,41.000000,16.000000,,2.5625,4547,.,.,2596.000000,1806.000000,,1.4374307862679956,4313,.,.,2391.000000,1794.000000,,1.3327759197324414,234,.,.,205.000000,12.000000,,17.083333333333332,0,.,.,0.000000,0.000000,,
INDEL,*,GC_70_75,ALL,*,QUAL,*,0.989209,0.937116,0.0,0.962458,6,8,9557818.000000,9557818.000000,0.000000,1390,.,.,735.000000,632.000000,,1.1629746835443038,1375,.,.,729.000000,625.000000,,1.1664,15,.,.,6.000000,7.000000,,0.8571428571428571,1463,.,.,815.000000,625.000000,,1.304,1371,.,.,726.000000,624.000000,,1.1634615384615385,92,.,.,89.000000,1.000000,,89.0,0,.,.,0.000000,0.000000,,
INDEL,*,GC_70_75,PASS,*,QUAL,*,0.989209,0.937116,0.0,0.962458,6,8,9557818.000000,9557818.000000,0.000000,1390,.,.,735.000000,632.000000,,1.1629746835443038,1375,.,.,729.000000,625.000000,,1.1664,15,.,.,6.000000,7.000000,,0.8571428571428571,1463,.,.,815.000000,625.000000,,1.304,1371,.,.,726.000000,624.000000,,1.1634615384615385,92,.,.,89.000000,1.000000,,89.0,0,.,.,0.000000,0.000000,,
INDEL,*,GC_75_80,ALL,*,QUAL,*,0.992692,0.949708,0.0,0.970724,2,3,4263854.000000,4263854.000000,0.000000,821,.,.,426.000000,381.000000,,1.1181102362204725,815,.,.,422.000000,379.000000,,1.1134564643799472,6,.,.,4.000000,2.000000,,2.0,855,.,.,463.000000,378.000000,,1.2248677248677249,812,.,.,422.000000,378.000000,,1.1164021164021165,43,.,.,41.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,GC_75_80,PASS,*,QUAL,*,0.992692,0.949708,0.0,0.970724,2,3,4263854.000000,4263854.000000,0.000000,821,.,.,426.000000,381.000000,,1.1181102362204725,815,.,.,422.000000,379.000000,,1.1134564643799472,6,.,.,4.000000,2.000000,,2.0,855,.,.,463.000000,378.000000,,1.2248677248677249,812,.,.,422.000000,378.000000,,1.1164021164021165,43,.,.,41.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,GC_80_85,ALL,*,QUAL,*,0.9917530000000001,0.9517100000000001,0.0,0.971319,1,3,1742287.000000,1742287.000000,0.000000,485,.,.,227.000000,247.000000,,0.9190283400809717,481,.,.,224.000000,247.000000,,0.9068825910931174,4,.,.,3.000000,0.000000,,,497,.,.,247.000000,240.000000,,1.0291666666666666,473,.,.,224.000000,239.000000,,0.9372384937238494,24,.,.,23.000000,1.000000,,23.0,0,.,.,0.000000,0.000000,,
INDEL,*,GC_80_85,PASS,*,QUAL,*,0.9917530000000001,0.9517100000000001,0.0,0.971319,1,3,1742287.000000,1742287.000000,0.000000,485,.,.,227.000000,247.000000,,0.9190283400809717,481,.,.,224.000000,247.000000,,0.9068825910931174,4,.,.,3.000000,0.000000,,,497,.,.,247.000000,240.000000,,1.0291666666666666,473,.,.,224.000000,239.000000,,0.9372384937238494,24,.,.,23.000000,1.000000,,23.0,0,.,.,0.000000,0.000000,,
